"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"CAP";"COPYRIGHT";"CUI_PURCHASE_URL";"DATASHEETURL";"DCR";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"ESR";"FREQUENCY";"HEIGHT";"IDC";"IDSMAX";"IMAX";"IRMS";"L";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MKTG_PACKAGE";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"NSID";"PACKAGE";"POPULARITY";"POWER";"PURCHASE-URL";"QGTYP";"QUANTITY";"RDSON45";"RDSONAT10V";"REFDES";"RESISTANCE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SOURCELIBRARY";"SPICEPREFIX";"TOLERANCE";"TYPE";"VDC";"VDSMAX";"VENDOR";
"2";"5V-LM3150MH_LM3150MH/NOPB";"5V-LM3150MH_LM3150MH/NOPB";"5V-LM3150MH_MXA14A";"U1, U2";"";"";"";"";"";"";"";"httpwww.ti.comproductlm3150";"";"";"";"";"";"";"";"1000000.0";"";"";"";"12.0";"";"";"Texas Instruments";"LM3150MHNOPB";"";"";"NA";"";"";"";"";"";"LM3150MHNOPB";"NA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";
"1";"60V";"12V--LM3150_CSD18537NQ5A:1";"12V--LM3150_TRANS_NEXFET_Q5A:1";"M2";"";"";"";"";"";"";"";"httpwww.ti.comlitdssymlinkcsd18537nq5a.pdf";"";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"Texas Instruments";"CSD18537NQ5A";"";"";"";"";"";"";"";"";"";"";"";"";"";"14.0";"1";"0.014559";"";"";"";"";"";"";"";"";"";"";"60.0";"Texas Instruments";
"1";"60V";"5V-LM3150MH_CSD18537NQ5A";"5V-LM3150MH_TRANS_NEXFET_Q5A";"M4";"";"";"";"";"";"";"";"httpwww.ti.comlitdssymlinkcsd18537nq5a.pdf";"";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"Texas Instruments";"CSD18537NQ5A";"";"";"";"";"";"";"";"";"";"";"";"";"";"14.0";"1";"0.014559";"";"";"";"";"";"";"";"";"";"";"60.0";"Texas Instruments";
"2";"62K";"RCL_R-US_R0603";"RCL_R0603";"R38, R42";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"62pF";"5V-LM3150MH_CL21C620JBANNNC";"5V-LM3150MH_0805";"C27";"";"";"";"";"6.2E11";"";"";"httpwww.samsungsem.comservletFileDownload?type%3Dspec%26file%3DCL21C620JBANNNC.pdf";"";"";"";"";"";"";"0.0";"";"";"";"";"";"0.0";"";"Samsung ElectroMechanics";"CL21C620JBANNNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50.0";"";"Samsung ElectroMechanics";
"3";"68XR10KLF_68XR10KLF";"68XR10KLF_68XR10KLF";"68XR10KLF_RES3_68X_TTE";"R4, R17, R18";"";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"987-1112-ND";"";"";"";"";"";"";"";"";"";"";"";"68XR10KLF";"";"TT Electronics";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"73.2k";"5V-LM3150MH_CRCW080573K2FKEA";"5V-LM3150MH_0805";"R9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VishayDale";"CRCW080573K2FKEA";"";"";"";"";"";"";"";"";"";"";"";"0.125";"";"";"";"";"";"";"73200.0";"";"";"";"";"1.0";"";"";"";"VishayDale";
"1";"8.2uH";"12V--LM3150_74437358082";"12V--LM3150_WE-LHMI_8040";"L1";"";"";"";"";"";"";"";"httpkatalog.we%2Donline.depbsdatasheet74437358082.pdf";"0.045";"";"";"";"";"";"";"";"";"13.0";"";"";"";"8.2E6";"Wurth Elektronik";"74437358082";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Wurth Elektronik";
"1";"ADS1015IDGST";"MICROBUILDER_ADC_ADS1015";"MICROBUILDER_MSOP10";"U4";"ADS1015 - 12-bit 4-Channel I2C ADC with Internal PGA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"AMASS_XT30PW-F";"AMASS_XT30PW-F";"AMASS_XT30PW-F";"CON1, CON2, CON3, CON4";"AMASS XT30 connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
